age,code,company,gender,job,name
52岁,600053,昆吾九鼎投资控股股份有限公司,男,"董事长,董事",康青山
39岁,600053,昆吾九鼎投资控股股份有限公司,男,"副董事长,董事",王亮
37岁,600053,昆吾九鼎投资控股股份有限公司,男,董事,易凌杰
41岁,600053,昆吾九鼎投资控股股份有限公司,男,董事,赵根
32岁,600053,昆吾九鼎投资控股股份有限公司,男,董事,刘靖
37岁,600053,昆吾九鼎投资控股股份有限公司,男,董事,王欣
44岁,600053,昆吾九鼎投资控股股份有限公司,男,独立董事,徐爽
51岁,600053,昆吾九鼎投资控股股份有限公司,男,独立董事,张宝林
42岁,600052,浙江东望时代科技股份有限公司,男,"董事长,董事",蒋旭峰
54岁,600054,黄山旅游发展股份有限公司,男,"董事长,董事",章德辉
65岁,600055,北京万东医疗科技股份有限公司,男,"董事长,董事",胡自强
52岁,600055,北京万东医疗科技股份有限公司,男,董事,谢宇峰
52岁,600053,昆吾九鼎投资控股股份有限公司,男,独立董事,鲜文铎
41岁,600053,昆吾九鼎投资控股股份有限公司,女,监事会主席,葛岚
45岁,600053,昆吾九鼎投资控股股份有限公司,女,监事,刘玉杰
38岁,600053,昆吾九鼎投资控股股份有限公司,女,职工监事,谭龙龙
52岁,600053,昆吾九鼎投资控股股份有限公司,男,总经理,康青山
37岁,600053,昆吾九鼎投资控股股份有限公司,男,"董事会秘书,副总经理,财务总监",易凌杰
53岁,600050,中国联合网络通信股份有限公司,男,"董事长,董事",刘烈宏
43岁,600052,浙江东望时代科技股份有限公司,男,董事,赵云池
32岁,600052,浙江东望时代科技股份有限公司,男,董事,娄松
30岁,600052,浙江东望时代科技股份有限公司,女,董事,陈艳
32岁,600052,浙江东望时代科技股份有限公司,男,董事,张康乐
40岁,600052,浙江东望时代科技股份有限公司,男,董事,吴翔
43岁,600052,浙江东望时代科技股份有限公司,男,独立董事,武鑫
47岁,600052,浙江东望时代科技股份有限公司,男,独立董事,陈高才
40岁,600052,浙江东望时代科技股份有限公司,男,独立董事,刘俐君
47岁,600052,浙江东望时代科技股份有限公司,女,监事会主席,李国珍
50岁,600054,黄山旅游发展股份有限公司,男,董事,孙峻
56岁,600054,黄山旅游发展股份有限公司,男,董事,陶平
59岁,600054,黄山旅游发展股份有限公司,男,董事,蒋集体
